Genome	Domain	Phylum	Class	Order	Family	Genus	Species	GC Content	Genome Length
MGYG000000379	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp900539425	41.09	2070552
MGYG000000380	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Merdibacter		53.72	1622044
MGYG000000381	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-628		27.88	953676
MGYG000000382	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	CAG-269 sp900554175	26.32	1513268
MGYG000000383	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA737		42.09	1702468
MGYG000000384	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-354		26.86	1439005
MGYG000000385	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag111		32.17	1909808
MGYG000000386	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	UMGS911		41.85	2252934
MGYG000000387	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae			35.15	2488147
MGYG000000388	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1623		57.9	2362060
MGYG000000389	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia sp900550935	44.1	2762523
MGYG000000390	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae			55.13	2232010
MGYG000000391	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA11475	UBA11475 sp003538975	42.76	1644097
MGYG000000392	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	Ruminococcus_E sp003521625	41.54	2042501
MGYG000000393	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9		50.16	2242585
MGYG000000394	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	CAG-495		45.72	1906398
MGYG000000395	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-217	CAG-217 sp900547275	43.28	2097770
MGYG000000396	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		60.07	2040467
MGYG000000397	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		59.58	1182481
MGYG000000398	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11		44.42	2936252
MGYG000000399	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae			50.06	1208519
MGYG000000400	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173		52.32	2908659
MGYG000000401	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA4626		33.36	788854
MGYG000000402	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Pseudoruminococcus	Pseudoruminococcus sp902765855	35.98	1550033
MGYG000000403	Bacteria	Firmicutes_A	Clostridia	Monoglobales_A	UBA1381	UBA4716		42.59	2138464
MGYG000000404	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA11774	UBA11774 sp003507655	41.68	2228546
MGYG000000405	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	CAG-390	CAG-390 sp000437015	54.72	2251507
MGYG000000406	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-552	UBA10677	UBA10677 sp003533505	52.82	1936952
MGYG000000407	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242			32.7	980671
MGYG000000408	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae			27.44	1810289
MGYG000000409	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	QALS01	QALS01 sp003150575	50.33	2691378
MGYG000000410	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag111	Zag111 sp002102825	32.23	1882952
MGYG000000411	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister		49.1	1335301
MGYG000000412	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio	Succinivibrio sp000431835	36.68	2387553
MGYG000000413	Bacteria	Firmicutes_B	Peptococcia	Peptococcales	Peptococcaceae	UBA7185		45.6	2856126
MGYG000000414	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp900546065	56.92	2648727
MGYG000000415	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA11471	UBA11471	UBA11471 sp900547555	46.3	2630685
MGYG000000416	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	UMGS1865	UMGS1865 sp900555785	57.56	1978468
MGYG000000417	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900755865	46.4	2910146
MGYG000000418	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UBA1820	UBA1820	UBA1820 sp003150615	48.85	2050770
MGYG000000419	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-710	CAG-710 sp000432595	27.4	1104451
MGYG000000420	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	UMGS1670	UMGS1670 sp900553995	39.49	2126341
MGYG000000421	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269		26.66	1698944
MGYG000000422	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1		34.07	1769950
MGYG000000423	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	UBA7001		25.76	1728758
MGYG000000424	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	CAG-353	CAG-353 sp900768995	46.27	2854163
MGYG000000425	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae			41.36	1738291
MGYG000000426	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UBA5026		26.51	1083370
MGYG000000427	Bacteria	Firmicutes	Bacilli	RFN20	CAG-449	CAG-449	CAG-449 sp000432895	25.94	2168872
MGYG000000428	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-552	UMGS1795		48.21	1789472
MGYG000000429	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA7597	UBA7597 sp900542935	50.18	1972857
MGYG000000430	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-1000	CAG-1000 sp900761555	25.64	1166774
MGYG000000431	Bacteria	Firmicutes	Bacilli	RFN20	CAG-288	CAG-288	CAG-288 sp000437395	30.41	1700744
MGYG000000432	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269		27.3	1590144
MGYG000000433	Bacteria	Firmicutes	Bacilli	ML615J-28	CAG-313	UBA1737		28.2	1914532
MGYG000000434	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-611	CAG-611 sp900552235	24.45	1031211
MGYG000000435	Bacteria	Firmicutes	Bacilli	RFN20	CAG-826	RUG131	RUG131 sp900549975	29.34	1948428
MGYG000000436	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	CAG-306	CAG-306 sp000980375	36.6	2103098
MGYG000000437	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp001941065	59.35	3341375
MGYG000000438	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1	Zag1 sp000433095	34.44	1976904
MGYG000000440	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	UMGS1865		55.07	2422037
MGYG000000441	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	CAG-312	CAG-312 sp900545705	48.49	2454454
MGYG000000442	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	CAG-462	CAG-462 sp003489705	51.77	3125088
MGYG000000443	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R		40.88	1708212
MGYG000000444	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia	Borkfalkia ceftriaxoniphila	51.85	2535942
MGYG000000445	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	RUG410		39.33	1525621
MGYG000000446	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UMGS1045	UMGS1045 sp900547995	25.55	1423737
MGYG000000447	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	CAG-484	CAG-484 sp900554385	35.28	1931770
MGYG000000448	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873		53.76	2372251
MGYG000000449	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	CAG-269 sp000438255	26.93	1523903
MGYG000000450	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS1826		61.11	2671977
MGYG000000451	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UBA1820	UBA1820	UBA1820 sp002314265	56.55	1842661
MGYG000000452	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella sp002159975	54.37	2678398
MGYG000000453	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp900539775	41.47	1755797
MGYG000000454	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	RUG11130		53.33	1064846
MGYG000000455	Bacteria	Firmicutes_A	Clostridia	UBA1212	UBA1255	UMGS1537		49.89	1994916
MGYG000000456	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae			53.62	2140419
MGYG000000457	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA737	UBA737 sp900549755	46.31	1876873
MGYG000000458	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-314	CAG-314	CAG-314 sp900551395	48.33	1496553
MGYG000000459	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242			34.95	1088338
MGYG000000460	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-917	CAG-475	CAG-475 sp900550915	46.16	1595400
MGYG000000461	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	UBA11517 sp900768545	35.7	905840
MGYG000000462	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	UBA940	UBA940 sp900768115	53.49	1821707
MGYG000000463	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	CAG-841	CAG-841 sp000437375	45.27	1724452
MGYG000000464	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	QHMH01	QHMH01 sp003258795	32.12	1534068
MGYG000000465	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-460		27.19	930329
MGYG000000466	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS1668	UMGS1668 sp900553955	50.61	1837167
MGYG000000467	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	CAAGED01	CAAGED01 sp900768505	46.46	2445290
MGYG000000468	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	UMGS1696	UMGS1696 sp900554225	55.16	2935049
MGYG000000469	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UBA6414		27	1307310
MGYG000000470	Bacteria	Spirochaetota	Brachyspirae	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira pilosicoli	27.93	2694868
MGYG000000471	Bacteria	Firmicutes	Bacilli	RFN20	CAG-288	UBA7642	UBA7642 sp900770925	44.1	1588654
MGYG000000472	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UMGS2069	UMGS2069 sp900554955	33.65	1121511
MGYG000000473	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA10281	UBA10281 sp900767495	45.69	1843328
MGYG000000474	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter		59.63	1911183
MGYG000000475	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Duodenibacillus	Duodenibacillus sp900544335	53.03	1625826
MGYG000000476	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-382	UMGS882	UMGS882 sp900546385	50.79	2809926
MGYG000000477	Bacteria	Firmicutes_A	Clostridia	TANB77	UBA1234	UBA1234	UBA1234 sp900753135	31	1717685
MGYG000000478	Bacteria	Firmicutes	Bacilli	RFN20	CAG-826	UBA4951	UBA4951 sp900540385	38.42	1684203
MGYG000000479	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_D	Treponema_D sp900541995	41.84	2347794
MGYG000000480	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	CAG-312	CAG-312 sp900546565	53.4	1940095
MGYG000000481	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-382	UMGS1387		45.76	2443498
MGYG000000482	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	HGM13634	HGM13634 sp900770385	26.49	1135888
MGYG000000483	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	HGM11416	HGM11416 sp900766495	45.04	1951388
MGYG000000484	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio_A	Butyrivibrio_A sp000431815	41.62	2428908
MGYG000000485	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1	Zag1 sp900767135	34.2	1980530
MGYG000000486	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A sp900770955	47.18	2258701
MGYG000000487	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	CAG-115	CAG-115 sp900768125	53.18	2815466
MGYG000000488	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Anaeroplasmataceae	Anaeroplasma	Anaeroplasma sp900767915	27.27	1945837
MGYG000000489	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter sp900548765	41.05	2786257
MGYG000000490	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	UMGS1865	UMGS1865 sp900768535	58.2	2369759
MGYG000000491	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag111	Zag111 sp003258735	33.1	2014387
MGYG000000492	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	RUG410	RUG410 sp900553115	39.29	1465212
MGYG000000493	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UBA2883	UBA2883 sp002103075	31.78	1815977
MGYG000000494	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269		28.03	1504589
MGYG000000495	Bacteria	Firmicutes_A	Clostridia	UMGS1883	HGM11501	HGM11501	HGM11501 sp900766735	48.52	2149207
MGYG000000496	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-1000	CAG-1000 sp900768345	26.37	1275836
MGYG000000497	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	QALA01		47.23	1155652
MGYG000000498	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UMGS995	UMGS995 sp900769695	26.51	1329771
MGYG000000499	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	HGM11416	HGM11416 sp900768525	44.17	2647539
MGYG000000500	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	CAG-110 sp900547405	57.31	2379768
MGYG000000501	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-127	CAG-127 sp900553925	44.62	2730672
MGYG000000502	Bacteria	Spirochaetota	Brachyspirae	Brachyspirales	Brachyspiraceae	Brachyspira	Brachyspira aalborgi	28.02	2577668
MGYG000000503	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UMGS1585	UMGS1585 sp900766355	31.26	1878889
MGYG000000504	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	CAG-312	CAG-312 sp000438015	46.11	2519783
MGYG000000505	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae			34.85	1142930
MGYG000000506	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	RUG410	RUG410 sp900769705	40.46	1552629
MGYG000000507	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-977	UBA2903	UBA2903 sp900768875	51.76	1876051
MGYG000000508	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	CAG-724	CAG-724 sp003524145	48.4	2012746
MGYG000000509	Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	CADBRU01	CADBRU01 sp900762815	53.76	1316319
MGYG000000510	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS363	UMGS363 sp900541495	45.59	2415256
MGYG000000511	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1	Zag1 sp900556295	33.79	1940210
MGYG000000512	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium		58.05	1575087
MGYG000000513	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter_B	Helicobacter_B fennelliae	38.62	1869856
MGYG000000514	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-590	CAG-590 sp900769115	41.26	3147233
MGYG000000515	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA2882	UBA2882 sp900549665	42.21	2818145
MGYG000000516	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	UMGS902		60.13	1853543
MGYG000000517	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS1889	UMGS1889 sp900556055	46.14	2612851
MGYG000000518	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA737	UBA737 sp900547095	40.35	1605062
MGYG000000519	Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	UBA1436	UBA1436 sp900541355	47.43	1498992
MGYG000000520	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	Firm-07	Firm-07 sp900548735	55.9	1867000
MGYG000000521	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-452		27.93	1223776
MGYG000000522	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter_A	Methanobrevibacter_A sp900766745	31.67	1691878
MGYG000000523	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UBA1221	UBA1221 sp900770525	33.92	1958836
MGYG000000524	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA4636	UBA4636 sp900770945	45.64	2043068
MGYG000000525	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Duodenibacillus	Duodenibacillus sp900767875	62.22	1915990
MGYG000000526	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900770395	47.78	3510035
MGYG000000527	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UMGS1470	UMGS1470 sp900552105	36.94	1011217
MGYG000000528	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	CAAFZY01	CAAFZY01 sp900767645	40.95	1493661
MGYG000000529	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UMGS1585	UMGS1585 sp900553205	32.64	1939857
MGYG000000530	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-138	PeH17	PeH17 sp000435055	49.48	1956406
MGYG000000531	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900768265	60.2	2151211
MGYG000000532	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-510	CAG-510 sp000434615	46.24	2771736
MGYG000000533	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A sp900551335	48.79	2190020
MGYG000000534	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900543975	49.62	3142227
MGYG000000535	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella sp900538935	65.82	2249918
MGYG000000536	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium_A	Cetobacterium_A sp900766645	29.4	2326188
MGYG000000537	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS1826	UMGS1826 sp900555435	55.98	2340074
MGYG000000538	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	UBA1829	UBA1829	UBA1829 sp900549045	55.82	3384359
MGYG000000539	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	Oribacterium sp004554245	54.68	2303957
MGYG000000540	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-762	CAG-762 sp000432575	27.34	1286390
MGYG000000541	Bacteria	Eremiobacterota	Xenobia	Xenobiales	Xenobiaceae	Bruticola	Bruticola sp004554425	43.35	2312271
MGYG000000542	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UBA2883	UBA2883 sp900768915	29.82	1922508
MGYG000000543	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter sp900552085	41.81	2969366
MGYG000000544	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1	Zag1 sp900769355	34.98	1985493
MGYG000000545	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter		41.3	2021811
MGYG000000546	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia sp003483745	42.54	3035642
MGYG000000547	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Catenibacterium		34.03	1632403
MGYG000000548	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	Sutterella sp900770335	67.74	2283169
MGYG000000549	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1	Zag1 sp001765415	32.81	1845545
MGYG000000550	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp900545895	61.92	2679456
MGYG000000551	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Mailhella	Mailhella sp900553065	58.32	2226054
MGYG000000552	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	CAG-521	CAG-521 sp900554675	47.57	1311729
MGYG000000553	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900548535	46.72	2921999
MGYG000000554	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter fetus	33.77	1538481
MGYG000000555	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Cellulosilyticaceae	Cellulosilyticum	Cellulosilyticum sp900556665	33.59	2866181
MGYG000000556	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003469205	60.01	1959616
MGYG000000557	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella		54.65	2365525
MGYG000000558	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Caecibacter	Caecibacter hominis	51.12	2334569
MGYG000000559	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella	Paraprevotella sp900546665	43.82	3371833
MGYG000000560	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella		52.51	2185840
MGYG000000561	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	CAG-115	CAG-115 sp003507295	53.78	2687682
MGYG000000562	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp000437735	41.81	2986625
MGYG000000563	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900546105	60.26	2000158
MGYG000000564	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Duodenibacillus	Duodenibacillus sp900552915	56.54	1924234
MGYG000000565	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900545555	60.26	2194949
MGYG000000566	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Mailhella		60.74	1581307
MGYG000000567	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	CAG-521	CAG-521 sp000437635	46.76	1906485
MGYG000000568	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-279	CAG-279 sp900544305	46.37	2842092
MGYG000000570	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp003459505	61.05	935571
MGYG000000571	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia turicensis	56.87	1767918
MGYG000000572	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1		32.81	1867050
MGYG000000573	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger variabilis_A	58.61	2095140
MGYG000000574	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae			49.69	5306470
MGYG000000575	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	UBA1829	UBA11452	UBA11452 sp003526375	52.21	4988607
MGYG000000576	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		41.63	1830013
MGYG000000577	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	UMGS1502		58.45	1390065
MGYG000000578	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae			48.1	1135240
MGYG000000579	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		59.84	2259318
MGYG000000580	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus vestibularis	39.39	1956603
MGYG000000581	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	CAG-495		42.88	1426046
